returns_binned,SMA_ratio_binned,MACD_hist_binned,RSI_binned,SO_diff_binned,Profit
3,3,2,3,3,1.136183738708274
3,3,3,3,1,1.3459920883180931
1,3,3,3,0,-0.2073049545288086
0,3,0,0,0,-14.002919197082297
0,3,0,0,0,-0.5037784576416016
0,3,0,0,1,-1.9096136093141869
0,3,0,0,1,-1.6026496887207031
1,3,0,0,2,0.0
0,3,0,0,2,-0.9990334510804333
0,3,0,0,1,-1.0965466499327503
1,3,0,0,1,-0.2987384796142578
1,3,0,0,2,-0.29838085174560547
0,3,0,0,1,-0.4971623420715332
3,3,0,0,2,0.5966424942017712
3,3,0,0,2,0.6968379020689808
2,3,0,0,2,0.09965896606445312
2,3,0,0,2,0.09953975677501337
3,3,1,0,3,0.49865245819080695
2,3,2,0,3,0.2993345260619007
3,3,3,0,3,0.6992220878602184
0,3,3,0,1,-1.1980533599853516
0,3,3,0,0,-1.6924142837524414
3,3,3,0,3,2.1912455558775745
2,3,3,0,3,0.2995729446412243
3,3,3,1,3,2.101898193359375
1,3,3,1,1,-0.3007650375366211
0,3,3,1,0,-1.7012357711790882
3,3,3,1,1,0.5997419357298694
0,3,3,2,1,-0.6996393203735352
3,3,3,2,2,0.6996393203735352
0,3,3,2,1,-0.49978494644153937
2,3,3,2,2,0.3997683525084339
0,3,3,2,1,-0.6995201110839844
0,3,3,2,0,-1.0972023010253906
1,3,3,1,1,0.0
2,3,3,1,1,0.09953975677501337
1,3,2,1,1,0.0
2,2,2,1,2,0.199437141418346
1,2,2,1,2,0.0
0,2,2,1,1,-0.597834587097168
3,2,2,1,3,0.597834587097168
0,2,2,2,0,-0.796973705291748
1,2,2,1,0,0.0
0,2,2,1,0,-0.5968809127806507
0,2,1,0,1,-0.6954669952393688
2,2,1,0,2,0.09930133819580078
3,2,2,1,3,1.4917850494383655
3,2,3,1,3,1.596212387085183
2,2,3,2,3,0.19979476928699835
0,1,3,1,0,-1.5967488288879395
3,1,3,1,1,0.5981922149658203
3,1,3,2,3,2.199530601501465
0,1,3,2,1,-0.8009672164916992
1,1,3,2,1,-0.10001659393310547
0,1,3,2,0,-0.7995367050170898
3,1,3,2,3,1.6002655029296875
0,1,3,2,1,-0.8007287979125977
0,1,3,2,0,-0.49978494644153937
2,1,3,2,1,0.19979476928699835
3,1,3,2,3,0.6001591682434082
1,1,2,2,0,-0.40018558502197266
1,1,2,2,0,-0.2999305725097656
0,1,2,2,0,-0.6991028785706677
3,1,2,2,3,1.8997788429261364
0,1,2,2,1,-0.8007287979125977
1,1,2,2,0,-0.3999471664428711
3,1,2,2,2,0.59998035430886
1,1,2,2,0,-0.40006637573231085
0,1,1,1,0,-1.2980103492735706
3,1,1,2,3,0.9982585906983532
0,1,0,1,1,-3.68344783782959
1,1,0,0,0,-0.09918212890636102
3,1,0,1,3,1.2907981872559704
3,1,0,1,3,1.6930699348448597
0,1,0,1,1,-1.2952685356140137
0,1,0,0,0,-1.7877817153930664
3,1,0,1,3,2.0864009857178845
3,1,2,2,3,5.70744276046764
0,1,3,2,2,-2.2106170654299095
1,1,3,2,0,-0.3006458282470703
0,1,3,1,0,-1.400768756866344
3,1,3,2,2,1.0001063346859462
3,1,3,2,3,1.0023117065431908
1,1,3,2,2,-0.10037422180175781
2,1,3,2,2,0.3010034561159447
3,1,3,2,2,0.6024837493894264
0,1,3,2,1,-0.9034872055053711
1,1,3,2,0,-0.40102005004905017
0,1,2,2,0,-0.6009340286252662
1,1,1,2,1,-0.40030479431152344
0,1,1,2,0,-0.6996393203735352
0,1,0,2,0,-1.1970996856689453
0,1,0,1,0,-0.9954571723937988
3,1,0,1,3,0.6965994834899902
1,1,0,2,2,0.0
1,1,0,2,1,-0.19913911819458008
3,1,0,2,3,1.695096492767334
0,1,0,0,1,-0.9978413581848145
2,1,1,1,1,0.29915571212768555
2,1,1,1,2,0.1995563507080078
3,1,2,2,3,2.701401710510254
0,1,2,1,2,-1.0023117065431908
3,1,3,1,2,1.0023117065431908
0,1,3,1,1,-0.601649284362793
2,1,3,1,2,0.40090084075927734
3,1,3,2,3,1.3053417205810547
1,1,3,2,2,0.0
